Movie,Run Time (minutes),Budget ($M),USGross ($),Genre,Dramas
Get Rich or Die Tryin',116,40,30981850,Drama,1
Pride and Prejudice à,129,28,38372662,Drama,1
Harry Potter and the Goblet of Fire,157,150,290013036,Drama,1
Walk the Line,81,28,119519402,Drama,1
Syriana à,126,50,50824620,Drama,1
"Yours, Mine and Ours",90,45,53359917,Comedy,0
The Libertine à,130,22,4835065,Drama,1
®on Flux,95,55,25857987,Action,0
Transamerica à,104,1,9015303,Drama,1
Brokeback Mountain à,134,13.9,83043761,Drama,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",140,180,291710957,Adventure,0
Memoirs of a Geisha à,145,85,57010853,Drama,1
King Kong,187,207,52614445,Drama,1
The Family Stone,103,18,60062868,Comedy,0
Hoodwinked à,80,17.5,51224985,Comedy,0
Munich à,164,75,47379090,Drama,1
The New World à,135,30,12712093,Adventure,0
The Matador à,97,1.1,16186348,Thriller,0
Note:  The à denotes a limited release that was then released on a large scale,,¥,,,0
