Year,Winner,Mins,Secs,total,speed
1959,Tomy Lee,2,2.20,122.2,36.82487725
1960,Venetian Way,2,2.40,122.4,36.76470588
1961,Carry Back,2,4.00,124,36.29032258
1962,Decidedly,2,0.40,120.4,37.37541528
1963,Chateaugay,2,1.80,121.8,36.94581281
1964,Northern Dancer,2,0.00,120,37.5
1965,Lucky Debonair,2,1.20,121.2,37.12871287
1966,Kauai King,2,2.00,122,36.8852459
1967,Proud Clarion,2,0.60,120.6,37.31343284
1968,Forward Pass,2,2.20,122.2,36.82487725
1969,Majestic Prince,2,1.80,121.8,36.94581281
1970,Dust Commander,2,3.40,123.4,36.46677472
1971,Canonero II,2,3.20,123.2,36.52597403
1972,Riva Ridge,2,1.80,121.8,36.94581281
1973,Secretariat,1,59.40,119.4,37.68844221
1974,Cannonade,2,4.00,124,36.29032258
1975,Foolish Pleasure,2,2.00,122,36.8852459
1976,Bold Forbes,2,1.60,121.6,37.00657895
1977,Seattle Slew,2,2.20,122.2,36.82487725
1978,Affirmed,2,1.20,121.2,37.12871287
1979,Spectacular Bid,2,2.20,122.2,36.82487725
1980,Genuine Risk,2,2.00,122,36.8852459
1981,Pleasant Colony,2,2.00,122,36.8852459
1982,Gato Del Sol,2,2.40,122.4,36.76470588
1983,Sunny's Halo,2,2.20,122.2,36.82487725
1984,Swale,2,2.40,122.4,36.76470588
1985,Spend a Buck,2,0.20,120.2,37.43760399
1986,Ferdinand,2,2.80,122.8,36.64495114
1987,Alysheba,2,3.40,123.4,36.46677472
1988,Winning Colors,2,2.20,122.2,36.82487725
1989,Sunday Silence,2,5.00,125,36
1990,Unbridled,2,2.00,122,36.8852459
1991,Strike the Gold,2,3.00,123,36.58536585
1992,Lil E. Tee,2,3.00,123,36.58536585
1993,Sea Hero,2,2.40,122.4,36.76470588
1994,Go For Gin,2,3.60,123.6,36.40776699
1995,Thunder Gulch,2,1.20,121.2,37.12871287
1996,Grindstone,2,1.00,121,37.19008264
1997,Silver Charm,2,2.40,122.4,36.76470588
1998,Real Quiet,2,4.20,124.2,36.23188406
1999,Charismatic,2,3.20,123.2,36.52597403
2000,Fusaichi Pegasus,2,1.00,121,37.19008264
2001,Monarchos,1,59.97,119.97,37.50937734
2002,War Emblem,2,1.10,121.1,37.15937242
2003,Funny Cide,2,1.19,121.19,37.13177655
2004,Smarty Jones,2,4.06,124.06,36.27277124
2005,Giacomo,2,2.75,122.75,36.6598778
2006,Barbaro,2,1.36,121.36,37.07976269
2007,Street Sense,2,2.17,122.17,36.83391995
2008,Big Brown,2,1.82,121.82,36.93974717
2009,Mine That Bird,2,2.66,122.66,36.68677646
2010,Super Saver,2,4.04,124.04,36.2786198
2011,Animal Kingdom,2,2.04,122.04,36.87315634
